timestamp,throttle_cmd,steering_cmd,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.0,0.0,1100,1500
2025-10-01 11:16:23,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:23,0.5,0.0,1500,1500
2025-10-01 11:16:23,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:24,0.5,0.0,1500,1500
2025-10-01 11:16:24,0.5,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:25,0.5,0.0,1500,1500
2025-10-01 11:16:25,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:25,0.5,0.0,1500,1500
2025-10-01 11:16:25,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:25,0.5,0.0,1500,1500
2025-10-01 11:16:25,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:25,0.5,0.0,1500,1500
2025-10-01 11:16:26,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:26,0.5,0.0,1500,1500
2025-10-01 11:16:26,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:26,0.5,0.0,1500,1500
2025-10-01 11:16:26,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:26,0.5,0.0,1500,1500
2025-10-01 11:16:27,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:27,0.5,0.0,1500,1500
2025-10-01 11:16:27,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:27,0.5,0.0,1500,1500
2025-10-01 11:16:27,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:27,0.5,0.0,1500,1500
2025-10-01 11:16:27,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:28,0.5,0.0,1500,1500
2025-10-01 11:16:28,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:28,0.5,0.0,1500,1500
2025-10-01 11:16:28,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:28,0.5,0.0,1500,1500
2025-10-01 11:16:28,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:28,0.5,0.0,1500,1500
2025-10-01 11:16:29,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:29,0.5,0.0,1500,1500
2025-10-01 11:16:29,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:29,0.5,0.0,1500,1500
2025-10-01 11:16:29,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:29,0.5,0.0,1500,1500
2025-10-01 11:16:30,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:30,0.5,0.0,1500,1500
2025-10-01 11:16:30,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:30,0.5,0.0,1500,1500
2025-10-01 11:16:30,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:30,0.5,0.0,1500,1500
2025-10-01 11:16:30,0.5,0.0,1484,1484,999,1100,999,999,0,0
2025-10-01 11:16:31,0.5,0.0,1500,1500
